smiles,capacity_max,flatness,PS,symmetry,%C,%N,%O,MolLogP,num_atoms,num_bonds,num_aromatic_rings,num_heteroatoms,num_rotatable_bonds,num_h_acceptors,num_h_donors,tpsa,mol_wt,experts_data
Nc1ccc(-c2ccc3[nH]c(-c4cc(-c5nc6ccc(-c7ccc(N)c(N)c7)cc6[nH]5)cc(N5C(=O)c6ccc7c8ccc9c%10c(ccc(c%11ccc(c6c7%11)C5=O)c%108)C(=O)N(c5cc(-c6nc7cc(-c8ccc(N)c(N)c8)ccc7[nH]6)cc(-c6nc7ccc(-c8ccc(N)c(N)c8)cc7[nH]6)c5)C9=O)c4)nc3c2)cc1N,5.65,3.249418539358991,7.592868112887456,C1,80.0,16.363636363636363,3.6363636363636362,16.83719999999998,110,130,19,22,10,22,20,397.64,1430.4888423359998,False
Nc1ccc(-c2ccc3nc(-c4cc(C(=O)O)cc(-n5c(=O)c6cc7c(=O)n(-c8cc(C(=O)O)cc(C(=O)O)c8)c(=O)c7cc6c5=O)c4)[nH]c3c2)cc1N,88.4,1.4989189965276397,5.121516241736471,C1,70.37037037037037,11.11111111111111,18.51851851851852,3.3601,54,61,8,16,7,16,8,270.75999999999993,722.139740904,False
Nc1ccc2c(c1)C(=O)c1ccc(NC=C3C(=O)C(=CNc4ccc5c(c4)C(=O)c4ccc(N)cc4C5=O)C(=O)C(=CNc4ccc5c(c4)C(=O)c4ccc(N)cc4C5=O)C3=O)cc1C2=O,49.0,1.3801449159241397,4.909233581493,C1,77.27272727272727,9.090909090909092,13.636363636363635,5.768100000000003,66,75,6,15,6,15,9,267.78,870.20742654,False
Nc1ccc(NC=C2C(=O)C(=CNc3ccc(N)cc3)C(=O)C(=CNc3ccc(N)cc3)C2=O)cc1,95.0,1.3043213369625903,3.0630055911057625,C1,75.0,16.666666666666664,8.333333333333332,3.4419000000000013,36,39,3,9,6,9,9,165.35999999999999,480.190988628,False
Nc1cc2sc(-c3c(O)c(-c4nc5cc(S)c(N)cc5s4)c(O)c(-c4nc5cc(S)c(N)cc5s4)c3O)nc2cc1S,724.0,0.31866042250067317,3.051608098613894,C1,64.28571428571429,14.285714285714285,7.142857142857142,7.246200000000004,42,48,7,15,3,9,9,177.42000000000002,665.9764644360001,False
Nc1cc2sc(-c3cc(-c4nc5cc(S)c(N)cc5s4)cc(-c4nc5cc(S)c(N)cc5s4)c3)nc2cc1S,166.0,0.3298462587811525,3.3422100238182537,C1,69.23076923076923,15.384615384615385,0.0,8.129400000000002,39,45,7,12,3,6,6,116.72999999999999,617.991720576,False
O=c1c(=O)c(=O)c2nc3cc4nc5c(=O)c(=O)c(=O)c(=O)c5nc4cc3nc2c1=O,224.0,7.413666643913558e-05,2.779239341972308,D2h,60.0,13.333333333333334,26.666666666666668,-3.4878,30,34,5,12,0,12,0,188.11999999999995,401.987263024,False
O=C1c2nc3c(=O)c(=O)c(=O)c(=O)c3nc2C(=O)c2nc3c(=O)c(=O)c(=O)c(=O)c3nc21,585.0,9.630914533284934e-05,2.80238447398097,D2h,56.25,12.5,31.25,-5.0188000000000015,32,36,4,14,0,14,0,222.25999999999993,431.96144219999996,False
O=c1oc(=O)c2cc3c(=O)n(-c4ccc(-c5nc(-c6ccc(-n7c(=O)c8cc9c(=O)oc(=O)c9cc8c7=O)cc6)nc(-c6ccc(-n7c(=O)c8cc9c(=O)oc(=O)c9cc8c7=O)cc6)n5)cc4)c(=O)c3cc12,423.0,0.9244955243182036,4.837063520160543,C1,70.83333333333334,8.333333333333332,20.833333333333336,1.8920999999999994,72,84,13,21,6,21,0,297.7199999999999,954.083013876,False
O=C1OC(=O)c2ccc3c4c(ccc1c24)C(=O)N(c1ccc(-c2nc(-c4ccc(N5C(=O)c6ccc7c8c(ccc(c68)C5=O)C(=O)OC7=O)cc4)nc(-c4ccc(N5C(=O)c6ccc7c8c(ccc(c68)C5=O)C(=O)OC7=O)cc4)n2)cc1)C3=O,388.0,1.2748489205705402,5.114882229143773,C1,75.0,7.142857142857142,17.857142857142858,8.665800000000003,84,99,10,21,6,21,0,280.91999999999996,1104.1299640680002,False
O=Cc1cc(C=O)c(O)c(/C=N\c2ccc(-c3nc(-c4ccc(/N=C\c5cc(C=O)cc(C=O)c5O)nc4)nc(-c4ccc(/N=C/c5cc(C=O)cc(C=O)c5O)nc4)n3)cn2)c1,546.0,1.665863584378928,4.347618519975099,C1,71.42857142857143,14.285714285714285,14.285714285714285,6.30120000000001,63,69,7,18,15,18,3,277.53,837.193173444,False
O=Cc1ccc(-c2nc(-c3ccc(C=O)cc3)nc(-c3ccc(/C=N/c4cc(O)c(/N=C/c5ccc(-c6nc(-c7ccc(C=O)cc7)nc(-c7ccc(C=O)cc7)n6)cc5)cc4O)cc3)n2)cc1,256.0,1.5315399614417802,6.1818693565873355,C1,79.41176470588235,11.76470588235294,8.823529411764707,10.220999999999991,68,76,9,14,14,14,2,210.8,890.2601308080001,False
O=Cc1cc(/C=N/c2ccc(-c3nc(-c4ccc(/N=C/c5cc(C=O)c(O)c(C=O)c5O)nc4)nc(-c4ccc(/N=C/c5cc(C=O)c(O)c(C=O)c5O)nc4)n3)cn2)c(O)c(C=O)c1O,310.0,1.1723437625191588,4.772109081763019,C1,68.18181818181817,13.636363636363635,18.181818181818183,5.41800000000001,66,72,7,21,15,21,6,338.21999999999997,885.1779173040001,False
O=Cc1c(O)c(C=O)c(O)c(/C=N/c2ccc(-c3nc(-c4ccc(/N=C/c5c(O)c(C=O)c(O)c(C=O)c5O)nc4)nc(-c4ccc(/N=C/c5c(O)c(C=O)c(O)c(C=O)c5O)nc4)n3)cn2)c1O,400.0,1.3055477108020965,4.631694798377473,C1,65.21739130434783,13.043478260869565,21.73913043478261,4.53480000000001,69,75,7,24,15,24,9,398.90999999999997,933.1626611639999,False
