DOI,SMILES,Materials-2,Materials-note,Electrolyte,Voltage window (V),Specific surface area (m2/g),Capacitance (F/g),Pore volume (cm3/g),Pore size (nm),Micropore volume (cm3/g),SSA of micropores (m2/g),Id/Ig ,N (at. %),O (at. %),B (at. %),S (at. %),F (at. %),P (at. %)
10.1039/c5ra16104e,O=C(CC(O)(C(O)=O)C1)O[Mg]OC1=O,subsequent NH3 treatment,yp-17d,lipf6 EC/DMC,2.7,1487,90,0.74,1,0.56,1356,,,,,,,
10.1007/s10800-015-0850-z,O=C(O[Na])C(O[Na])=O,,600-2,koh,1,449,185,0.54,4.77,0.11,,,,,,,,
10.1007/s10800-015-0850-z,O=C(O[Na])C(O[Na])=O,,700-2,koh,1,600,193,0.63,4.2,0.18,,,,,,,,
10.1007/s10800-015-0850-z,O=C(O[Na])C(O[Na])=O,,800-2,koh,1,1018,233,1.07,4.18,0.27,,,,,,,,
10.1007/s10800-015-0850-z,O=C(O[Na])C(O[Na])=O,,900-2,koh,1,1066,168,1.48,5.57,0.11,,,,,,,,
10.1007/s10800-015-0850-z,O=C(O[Na])C(O[Na])=O,,800-1.5,koh,1,866,189,0.83,3.81,0.21,,,,,,,,
10.1007/s10800-015-0850-z,O=C(O[Na])C(O[Na])=O,,800-2.5,koh,1,1456,245,1.35,3.7,0.38,,1.02,,,,,,
10.1007/s10800-015-0850-z,O=C(O[Na])C(O[Na])=O,,800-3,koh,1,971,236,0.99,4.07,0.26,,,,,,,,
10.1039/c4ta01215a,C1(/[N]C=CC1)=C/C2=CC=CC=C2,,,koh,1,139,,,4.3,,,0.57,11.3,,,,,
10.1039/c4ta01215a,C1(/[N]C=CC1)=C/C2=CC=CC=C3,,,koh,1,1299,491,,,,,0.89,4.8,,,,,
10.1039/c4ta01215a,C1(/[N]C=CC1)=C/C2=CC=CC=C4,,,koh,1,2090,525,,,,,0.9,4.1,,,,,
