zwiazek,smiles_old,masa_molowa,liczba_pierscieni,srednia_liczba_N_w_pierscieniu,liczba_substratu_w_porze,energia Gibbsa,odleglosc_miedzy_najdalszymi_grupami,kondensacja,piroliza,temperatura,N_perc_triaz,wielkosc_pora teoretyczna,BET,objetosc,objetosc_mikroporow,pojemnosc_3_H2SO4_CV,pojemnosc_3_H2SO4_GCD,pojemnosc_3_NaOH_CV,pojemnosc_3_NaOH_GCD,,smiles
"2,4,6-tris(4-formylphenyl)triazine 2,5-diaminohydroquinone",NC1=C(O)C=C(N=CC(C=C2)=CC=C2C3=NC(C4=CC=C(C=O)C=C4)=NC(C5=CC=C(C=O)C=C5)=N3)C(O)=C1,515.5,5,5,6,,1.8,1,0,180,14.8,3.4,1855,0.7,,,,,256,,NC1=C(C=C(/N=C/C2=CC=C(C3=NC(C4=CC=C(C=C4)/C=N\C(C(O)=C5)=CC(O)=C5N)=NC(C6=CC=C(C=C6)C=NC7=C(C=C(N)C(O)=C7)O)=N3)C=C2)C(O)=C1)O
PYPZ,O=C(N(N1)C2=CC=C(C#N)C=C2)C3=C(C1=O)C=C(C4=O)C(C(N(N4)C5=CC=C(C#N)C=C5)=O)=C3,448.4,4,3,6,789,2,1,0,550,8.1,3.8,981,0.65,,,241,,,,N#Cc%16ccc(n%15[nH]c(=O)c%14cc%13c(=O)[nH]n(c%12ccc(c%11nc(c5ccc(n4[nH]c(=O)c3cc2c(=O)[nH]n(c1ccc(C#N)cc1)c(=O)c2cc3c4=O)cc5)nc(c%10ccc(n9[nH]c(=O)c8cc7c(=O)[nH]n(c6ccc(C#N)cc6)c(=O)c7cc8c9=O)cc%10)n%11)cc%12)c(=O)c%13cc%14c%15=O)cc%16
PYPZ,O=C(N(N1)C2=CC=C(C#N)C=C2)C3=C(C1=O)C=C(C4=O)C(C(N(N4)C5=CC=C(C#N)C=C5)=O)=C3,448.4,4,3,6,789,2,1,0,600,6.48,3.8,994,0.71,,,256,,,,N#Cc%16ccc(n%15[nH]c(=O)c%14cc%13c(=O)[nH]n(c%12ccc(c%11nc(c5ccc(n4[nH]c(=O)c3cc2c(=O)[nH]n(c1ccc(C#N)cc1)c(=O)c2cc3c4=O)cc5)nc(c%10ccc(n9[nH]c(=O)c8cc7c(=O)[nH]n(c6ccc(C#N)cc6)c(=O)c7cc8c9=O)cc%10)n%11)cc%12)c(=O)c%13cc%14c%15=O)cc%16
PYPZ,O=C(N(N1)C2=CC=C(C#N)C=C2)C3=C(C1=O)C=C(C4=O)C(C(N(N4)C5=CC=C(C#N)C=C5)=O)=C3,448.4,4,3,6,789,2,1,0,650,5.54,3.8,1242,0.73,,,212,,,,N#Cc%16ccc(n%15[nH]c(=O)c%14cc%13c(=O)[nH]n(c%12ccc(c%11nc(c5ccc(n4[nH]c(=O)c3cc2c(=O)[nH]n(c1ccc(C#N)cc1)c(=O)c2cc3c4=O)cc5)nc(c%10ccc(n9[nH]c(=O)c8cc7c(=O)[nH]n(c6ccc(C#N)cc6)c(=O)c7cc8c9=O)cc%10)n%11)cc%12)c(=O)c%13cc%14c%15=O)cc%16
PYPZ,O=C(N(N1)C2=CC=C(C#N)C=C2)C3=C(C1=O)C=C(C4=O)C(C(N(N4)C5=CC=C(C#N)C=C5)=O)=C3,448.4,4,3,6,789,2,1,0,700,3.46,3.8,1464,0.93,,,142,,,,N#Cc%16ccc(n%15[nH]c(=O)c%14cc%13c(=O)[nH]n(c%12ccc(c%11nc(c5ccc(n4[nH]c(=O)c3cc2c(=O)[nH]n(c1ccc(C#N)cc1)c(=O)c2cc3c4=O)cc5)nc(c%10ccc(n9[nH]c(=O)c8cc7c(=O)[nH]n(c6ccc(C#N)cc6)c(=O)c7cc8c9=O)cc%10)n%11)cc%12)c(=O)c%13cc%14c%15=O)cc%16
"triphenylbenzene, cyanuric chloride",ClC1=NC(C(C=C2)=CC=C2C3=CC(C4=CC=CC=C4)=CC(C5=CC=CC=C5)=C3)=NC(Cl)=N1,454.4,5,3,6,898,1.7,1,0,600,2.73,3.2,856,0.35,,,,,117,,ClC1=NC(C2=CC=C(C3=CC(C4=CC=C(C5=NC(Cl)=NC(Cl)=N5)C=C4)=CC(C6=CC=C(C7=NC(Cl)=NC(Cl)=N7)C=C6)=C3)C=C2)=NC(Cl)=N1
"triphenylbenzene, cyanuric chloride",ClC1=NC(C(C=C2)=CC=C2C3=CC(C4=CC=CC=C4)=CC(C5=CC=CC=C5)=C3)=NC(Cl)=N1,454.4,5,3,6,898,1.7,1,0,700,2.44,3.2,931,0.37,,,,,168,,ClC1=NC(C2=CC=C(C3=CC(C4=CC=C(C5=NC(Cl)=NC(Cl)=N5)C=C4)=CC(C6=CC=C(C7=NC(Cl)=NC(Cl)=N7)C=C6)=C3)C=C2)=NC(Cl)=N1
"triphenylbenzene, cyanuric chloride",ClC1=NC(C(C=C2)=CC=C2C3=CC(C4=CC=CC=C4)=CC(C5=CC=CC=C5)=C3)=NC(Cl)=N1,454.4,5,3,6,898,1.7,1,0,800,2.02,3.2,1040,0.42,,,,,228,,ClC1=NC(C2=CC=C(C3=CC(C4=CC=C(C5=NC(Cl)=NC(Cl)=N5)C=C4)=CC(C6=CC=C(C7=NC(Cl)=NC(Cl)=N7)C=C6)=C3)C=C2)=NC(Cl)=N1
"triphenylbenzene, cyanuric chloride",ClC1=NC(C(C=C2)=CC=C2C3=CC(C4=CC=CC=C4)=CC(C5=CC=CC=C5)=C3)=NC(Cl)=N1,454.4,5,3,6,898,1.7,1,0,900,1.81,3.2,988,0.39,,,,,217,,ClC1=NC(C2=CC=C(C3=CC(C4=CC=C(C5=NC(Cl)=NC(Cl)=N5)C=C4)=CC(C6=CC=C(C7=NC(Cl)=NC(Cl)=N7)C=C6)=C3)C=C2)=NC(Cl)=N1
terephtalonitrile,N#CC1=CC=C(C#N)C=C1,128.1,1,2,6,386,0.7,0,1,600,11.8,1.2,1558,0.98,,,,,220,,N#Cc4ccc(c3nc(c1ccc(C#N)cc1)nc(c2ccc(C#N)cc2)n3)cc4
"[1,1’-biphenyl]-4,4’-dicarbonitrile",N#CC1=CC=C(C2=CC=C(C#N)C=C2)C=C1,204.2,2,2,6,539,1.1,0,1,600,4.7,2,1451,1.62,,,,,280,,N#Cc7ccc(c6ccc(c5nc(c2ccc(c1ccc(C#N)cc1)cc2)nc(c4ccc(c3ccc(C#N)cc3)cc4)n5)cc6)cc7
"[2,2’-bipyridine]-5,5’-dicarbonitrile",N#CC1=CC=C(C2=CC=C(C#N)C=N2)N=C1,206.2,2,4,6,676,1.1,0,1,600,11.3,2,2278,1.49,,,,,393,,N#Cc7ccc(c6ccc(c5nc(c2ccc(c1ccc(C#N)cn1)nc2)nc(c4ccc(c3ccc(C#N)cn3)nc4)n5)cn6)nc7
"pyridine-2,6-dicarbonitrile",N#CC1=CC=CC(C#N)=N1,129.1,1,3,3,454,0.6,0,1,600,13,0.6,2230,1.49,,,,,324,,N#Cc4cccc(c3nc(c1cccc(C#N)n1)nc(c2cccc(C#N)n2)n3)n4
